Date,Open,High,Low,Close,Adj Close,Volume
2019-10-22,1719,1719,1666.5,1674.349976,1674.349976,1111643
2019-10-23,1667,1689.900024,1641.099976,1654.550049,1654.550049,1049669
2019-10-24,1658.699951,1692.349976,1637.449951,1664.900024,1664.900024,1157546
2019-10-25,1611,1644.300049,1452.550049,1467.800049,1467.800049,11229256
2019-10-29,1394,1434.449951,1377.949951,1409.75,1409.75,4126810
2019-10-30,1450,1534.400024,1420,1512.050049,1512.050049,6003645
2019-10-31,1521.5,1537.849976,1450,1456.849976,1456.849976,3358096
2019-11-01,1472.300049,1507.349976,1429,1438.650024,1438.650024,4453395
2019-11-04,1440.050049,1459.650024,1421.599976,1436.400024,1436.400024,1638666
2019-11-05,1432,1503,1411.849976,1462.449951,1462.449951,4797987
2019-11-06,1474,1494.75,1451.050049,1468.650024,1468.650024,1114009
2019-11-07,1477.699951,1497.900024,1456.099976,1492.550049,1492.550049,2561089
2019-11-08,1495,1541.75,1480.550049,1530,1530,2400373
2019-11-11,1524,1524.800049,1470.099976,1481.349976,1481.349976,1565295
2019-11-13,1482,1494.949951,1466.400024,1477.550049,1477.550049,898600
2019-11-14,1478,1525,1465,1516.900024,1516.900024,1224651
2019-11-15,1510,1516.199951,1456.150024,1465.650024,1465.650024,1568300
2019-11-18,1475,1486.900024,1454.449951,1460,1460,997063
2019-11-19,1460,1468,1422.199951,1425.75,1425.75,1131505
2019-11-20,1440,1449.599976,1417.5,1426.650024,1426.650024,962616
2019-11-21,1426.650024,1443.050049,1385,1400.199951,1400.199951,1363237
2019-11-22,1392,1404.900024,1357.25,1391,1391,2178554
2019-11-25,1390.150024,1454.800049,1390.150024,1450.150024,1450.150024,1803684
2019-11-26,1421,1439.5,1388.5,1413.099976,1413.099976,2482861
2019-11-27,1410,1439.949951,1392,1427.199951,1427.199951,1424977
2019-11-28,1420,1444.75,1418,1433.550049,1433.550049,1070836
2019-11-29,1426.150024,1474.900024,1420.349976,1444.199951,1444.199951,1106004
2019-12-02,1458,1461.900024,1437.349976,1452.199951,1452.199951,636925
2019-12-03,1438,1444.849976,1390.199951,1399.599976,1399.599976,1423698
2019-12-04,1390,1419.199951,1385.599976,1405.800049,1405.800049,800504
2019-12-05,1379.599976,1393.5,1317.25,1321.25,1321.25,3271613
2019-12-06,1325,1335,1305.550049,1323.099976,1323.099976,2103825
2019-12-09,1327.099976,1351.849976,1317.150024,1327.800049,1327.800049,1085122
2019-12-10,1327.400024,1340.5,1324.150024,1328.75,1328.75,538102
2019-12-11,1330,1348,1325,1338.949951,1338.949951,609565
2019-12-12,1348.900024,1359.800049,1331.5,1339.400024,1339.400024,752297
2019-12-13,1347,1367.949951,1310,1322.050049,1322.050049,1540569
2019-12-16,1329,1329,1291.099976,1299.800049,1299.800049,1217911
2019-12-17,1300,1320,1295.050049,1315.150024,1315.150024,1110006
2019-12-18,1314,1320,1292.5,1309.25,1309.25,895588
2019-12-19,1303.75,1309,1280,1286.050049,1286.050049,952595
2019-12-20,1300,1308.5,1286,1293.349976,1293.349976,1090049
2019-12-23,1284,1315,1277.099976,1300.349976,1300.349976,1954266
2019-12-24,1295,1310,1295,1306.949951,1306.949951,819488
