Date,Open,High,Low,Close,Adj Close,Volume
2020-05-21,1435,1461.449951,1425,1441.25,1441.25,18076017
2020-05-22,1451.800049,1458,1426.5,1431.550049,1431.550049,17458065
2020-05-26,1448.150024,1449.699951,1416.300049,1424.050049,1424.050049,15329472
2020-05-27,1431,1454,1412,1445.550049,1445.550049,16460756
2020-05-28,1455,1479.75,1449,1472.25,1472.25,18518271
2020-05-29,1468,1472,1452.650024,1464.400024,1464.400024,18470390
2020-06-01,1480,1538.349976,1475.949951,1520.349976,1520.349976,18434012
2020-06-02,1526,1540,1520.800049,1535.699951,1535.699951,10224049
2020-06-03,1545,1560,1533.349976,1541.650024,1541.650024,11713461
2020-06-04,1544,1589.5,1541,1579.800049,1579.800049,15784379
2020-06-05,1595,1618,1573.699951,1581.699951,1581.699951,15246965
